Herd-Year-Classifier,Age_class_at_first_calving,Class_of_days_in_milk,Animal,Front_muscularity,Udder,Thorax_depth,Thinness,Fore_udder_attach,Rear_udder_attach,Udder_width
28,5,4,18994,4,3,4,3,3,3,3
204,5,4,627,4,3,3,3,3,3,2
204,7,2,1200,4,3,3,3,3,3,2
204,5,5,1201,3,3,4,3,3,3,2
205,5,3,212,2,3,4,3,3,3,2
205,5,4,319,3,3,2,3,3,3,2
207,5,5,196,3,3,4,3,4,3,3
207,4,4,197,3,3,4,3,3,3,2
207,2,5,1202,3,3,3,3,4,3,3
209,5,4,1204,2,3,3,3,3,3,3
209,3,5,1205,3,3,3,3,3,3,2
106,9,4,13,3,3,3,3,3,2,3
106,8,1,158,3,3,3,4,3,2,3
106,5,4,159,2,3,3,4,3,2,2
106,5,4,160,2,3,3,4,3,2,3
106,4,4,192,3,3,3,4,3,3,3
106,6,4,383,3,3,3,4,3,2,3
106,2,4,700,3,3,3,4,3,2,3
106,3,4,701,3,3,3,3,3,2,3
173,4,4,743,3,3,3,3,3,3,2
173,8,1,744,4,2,4,2,2,2,1
173,3,4,1144,4,3,4,3,3,3,2
173,2,5,1145,3,3,4,3,3,3,2
174,5,4,472,4,3,3,3,3,3,3
174,9,4,18799,4,3,4,4,4,3,3
175,4,3,1139,3,3,3,4,4,3,3
175,3,3,1140,3,3,3,3,2,3,3
175,5,3,1141,3,3,4,3,3,3,2
175,6,3,1142,4,3,4,3,4,3,3
175,8,2,18912,3,3,2,3,3,3,2
176,2,4,745,4,3,4,3,3,3,2
176,1,3,1274,2,3,3,3,3,3,3
177,6,3,466,2,3,3,3,3,3,2
177,5,4,469,2,3,2,3,3,3,2
193,4,4,52,3,3,2,3,3,3,2
193,5,5,325,2,3,2,3,3,2,2
193,3,5,336,2,3,2,3,2,3,3
193,3,4,337,3,2,2,3,2,2,2
193,5,4,18827,3,3,3,3,3,2,3
196,6,5,18891,3,2,2,2,2,2,2
196,5,5,18892,3,3,2,3,2,2,3
263,4,5,18795,3,3,3,3,3,2,3
263,4,5,18796,3,3,3,3,3,2,3
284,5,4,18790,2,2,2,2,1,2,1
284,9,4,19047,2,2,2,2,2,2,1
356,1,3,18896,4,3,4,3,2,3,2
356,4,4,18897,3,4,4,4,4,4,3
357,4,4,475,3,3,3,3,3,3,3
357,6,4,476,3,2,4,3,2,2,2
358,6,3,4,4,3,4,3,3,3,3
358,7,3,473,3,2,3,3,3,2,2
358,4,4,474,2,3,2,3,3,2,2
358,5,4,18800,3,3,4,3,3,3,2
372,2,2,18847,3,3,3,2,2,3,2
372,5,4,18848,3,3,2,3,2,2,3
372,4,5,18849,3,3,2,2,2,2,2
372,4,5,18850,3,3,2,4,2,2,2
9,5,4,973,3,4,3,3,4,4,4
9,5,4,974,4,3,4,3,2,3,4
11,5,4,991,3,3,4,3,3,3,2
11,5,4,992,3,2,4,3,2,2,2
11,5,4,995,2,3,2,3,3,3,3
14,5,5,927,3,3,3,3,4,3,4
14,5,5,928,3,3,3,3,3,4,3
15,4,4,932,3,2,3,4,2,2,2
15,4,4,933,3,3,3,3,3,2,3
15,3,4,934,3,2,3,3,2,3,2
15,3,4,935,3,2,3,4,2,2,2
15,9,5,18995,3,3,4,3,3,3,4
15,5,4,19271,4,2,3,3,2,2,2
16,5,3,936,3,2,3,3,2,2,2
16,5,4,937,3,2,3,2,2,3,2
16,5,5,938,4,1,3,2,2,2,4
17,7,2,922,3,3,4,4,4,3,4
17,5,5,923,3,3,3,3,4,3,4
17,6,4,924,3,4,3,4,4,4,4
17,5,5,925,3,4,3,4,4,4,4
17,3,5,926,4,1,4,3,1,2,2
18,5,2,421,4,3,4,3,3,3,2
18,5,5,422,3,1,3,3,1,3,2
18,5,5,423,3,3,3,3,3,3,3
18,5,4,424,3,3,3,3,3,3,3
18,4,5,425,2,3,3,3,3,3,2
18,6,3,426,3,3,3,3,4,3,3
18,4,5,427,4,3,4,3,3,3,2
18,3,4,1178,3,3,3,3,3,2,2
26,7,4,306,3,3,3,3,3,3,2
26,5,4,309,3,3,4,3,3,3,3
26,6,4,311,3,3,3,3,3,3,3
26,4,4,921,2,3,3,3,3,3,2
26,5,4,966,4,3,4,3,4,3,3
26,5,4,967,3,3,4,4,3,4,4
29,4,5,963,3,3,3,3,2,2,2
29,3,5,964,3,3,3,3,3,3,3
29,3,5,965,3,3,3,3,3,3,3
31,6,4,408,3,1,4,2,2,2,1
31,8,1,968,4,3,4,4,3,4,3
31,5,5,969,3,3,4,3,3,3,2
31,4,4,970,3,3,4,4,3,3,3
